respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
201148,Cell phone,180920,180920,2,No,English,West,CA,Highest,S,West,CA,,Highest,Male,No,Asian or Asian-American,,,,FORM 2,,,18 or older,Dissatisfied,Approve,Not too closely,Republican Party's candidate,,Less,"Yes, will be a factor",For Trump,Somewhat important,Very important,Very important,,,,,,,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Good,Same,Only fair shape,Get a little worse,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,Republican Party,(VOL) Don't know/Refused,,Not at all concerned,,Because he or she had more advantages in life than most other people,Statement #2,Statement #1,Statement #2,,Statement #2,Statement #2,Protect the right of Americans to own guns,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Should BOTH be given equal priority,,Good for the United States,Legal in most cases,"No, illegal",Mostly favorable,Very unfavorable,Mostly unfavorable,A lot,Somewhat confident,Very confident,Wrong decision,Mostly failed,,,,,Male,69,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",Yes,"Yes, would",Once or twice a month,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,.9549467,.6964619
201150,Cell phone,180920,180920,3,No,English,West,WA,Lowest,S,West,WA,,Lowest,Male,Yes,White,,,,FORM 2,,,18 or older,Dissatisfied,Approve,Fairly closely,Republican Party's candidate,,More,"Yes, will be a factor",For Trump,Very important,Somewhat important,Very important,,,,,,,Very important,Very important,Not at all important,Very important,Somewhat important,Very important,Somewhat important,,,,,(VOL) Don't know/Refused,Well informed,Keeps his promises,Stands up for what he believes in,Excellent,Same,Good shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,(VOL) Don't know/Refused,Democratic Party,,Very concerned,,Because he or she worked harder than most other people [OR],Statement #2,Statement #2,(VOL) Don't know/Refused,,Statement #1,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,,Good for the United States,Illegal in all cases,"Yes, legal",Mostly favorable,Very unfavorable,Very unfavorable,A lot,Not at all confident,Somewhat confident,Wrong decision,Mostly failed,,,,,Male,32,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,(VOL) Christian,,"No, would not",Never,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,3,2,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.9540141,1.5870542
201151,Cell phone,180920,180920,3,No,English,West,OR,Lowest,R,West,OR,,Lowest,Female,No,White,,,,FORM 1,,,18 or older,Satisfied,Approve,Fairly closely,Republican Party's candidate,,More,"No, will not",Trump not much of a factor,Very important,Somewhat important,Somewhat important,Not at all important,Very important,Very important,Somewhat important,Very important,Very important,,,,,,,,Not trustworthy,Able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Only fair,Same,Only fair shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Democratic Party,Democratic Party,,,Republican Party,Republican Party,,,Somewhat concerned,,Lack of effort,,Statement #1,Statement #1,Statement #1,Statement #2,Statement #1,,Protect the right of Americans to own guns,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,Approve,,Legal in all cases,"Yes, legal",Mostly favorable,Mostly favorable,Mostly favorable,A little [OR],Somewhat confident,Very confident,,,,,,,Male,28,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Nothing in particular,,,A few times a year,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,1,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.2554618,1.4065707
201152,Cell phone,180920,180920,2,No,English,South,FL,2,S,West,CA,,Highest,Female,Yes,White,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Very closely,(VOL) Other,Democratic Party's candidate,More,"Yes, will be a factor",Against Trump,Not too important,Very important,Not too important,,,,,,,Very important,Very important,Very important,Somewhat important,Not too important,Very important,Not too important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Good,Worse,Excellent shape,(VOL) Stay the same,More secure today than it was before the 2008 economic crisis [OR],,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Not at all concerned,,Because he or she had more advantages in life than most other people,Statement #1,Statement #1,Statement #1,,Statement #2,(VOL) Neither/Both equally,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,,Bad for the United States,Legal in most cases,"Yes, legal",Very unfavorable,Mostly unfavorable,Mostly favorable,A lot,Very confident,Not at all confident,Wrong decision,Mostly failed,,,,,Male,47,"Postgraduate or professional degree, including master's, doctorate, medical or law degree",No,White,White non-Hispanic,,Nothing in particular,,,Never,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,,Dem/lean Dem,Moderate,Ind,Cons-Mod Dem/ln Dem,3,2,2,,,"No, home telephone",No landline,Cellphone,Respondent agrees,.4065643,.5452119
201154,Cell phone,180923,180920,6,No,Spanish,West,CA,Highest,S,West,CA,,Highest,Female,No,White,,,,FORM 1,,,18 or older,Satisfied,Disapprove,Not at all closely,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Less,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,Very important,Not too important,Very important,Very important,Very important,Very important,,,,,,,,Not trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Excellent,Better,Only fair shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Republican Party,Republican Party,Republican Party,,,Republican Party,Republican Party,,,Somewhat concerned,,Circumstances beyond control,,Statement #1,Statement #1,Statement #2,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,Disapprove,,Illegal in all cases,"No, illegal",Mostly unfavorable,Very favorable,Very unfavorable,A little [OR],Somewhat confident,Not too confident [OR],,,Poor,Poor,Only fair,Only fair,Male,67,Less than high school (Grades 1-8 or no formal schooling),Yes,Or some other race,Hispanic,Another country,Roman Catholic (Catholic),,"Yes, would",A few times a year,"50 to under $75,000",Are you NOT registered to vote at your current address,(VOL) No preference,Republican,(VOL) Don't know/Refused,Rep/lean Rep,Conservative,DK/Ref to party or ideo,Cons Rep/ln Rep,5,4,3+,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,1.1632314,.9958958999999999
201155,Cell phone,180920,180920,3,No,Spanish,West,CA,Highest,,West,CA,,Highest,Female,Yes,Or some other race,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Fairly closely,Democratic Party's candidate,,(VOL) Don't know/Refused,"No, will not",(VOL) Don't know/Refused,Very important,Very important,Very important,,,,,,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Only fair,Better,Only fair shape,Improve a lot,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Not at all concerned,,Because he or she worked harder than most other people [OR],(VOL) Don't know/Refused,Statement #1,Statement #1,,Statement #2,(VOL) Don't know/Refused,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Should BOTH be given equal priority,,Good for the United States,(VOL) Don't know/Refused,"No, illegal",Mostly favorable,Very favorable,Mostly favorable,A lot,Somewhat confident,Not too confident [OR],Right decision,(VOL) Don't know/Refused,Good,Good,Good,Good,Male,82,Less than high school (Grades 1-8 or no formal schooling),Yes,White,Hispanic,Another country,Roman Catholic (Catholic),,"Yes, would",Once or twice a month,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,2.6046013,1.6949569
201156,Cell phone,180920,180920,3,No,English,West,WA,4,U,West,WA,,4,Female,No,White,,,,FORM 1,,,18 or older,Dissatisfied,Disapprove,Not at all closely,Democratic Party's candidate,,More,"No, will not",Trump not much of a factor,Very important,Very important,Very important,Not too important,Very important,Very important,Very important,Very important,Very important,,,,,,,,Not trustworthy,Able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Good,Same,Excellent shape,Improve some,No more secure today than it was before the 2008 economic crisis,Republican Party,Democratic Party,Democratic Party,,,Republican Party,Democratic Party,,,Somewhat concerned,,Lack of effort,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,Disapprove,,Legal in all cases,"Yes, legal",Mostly unfavorable,Mostly favorable,Mostly favorable,A little [OR],Somewhat confident,Not at all confident,,,,,,,Male,30,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",Yes,White,Hispanic,Another country,Agnostic (not sure if there is a God),,,Seldom,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,,Dem/lean Dem,Liberal [OR],Ind,Lib Dem/ln Dem,2,2,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.3012986,.3823117
201158,Cell phone,180920,180920,3,No,English,West,WA,Lowest,R,West,CA,,2,Female,Yes,White,,,,FORM 1,,,18 or older,Dissatisfied,Approve,Fairly closely,Republican Party's candidate,,More,"Yes, will be a factor",For Trump,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Good,Better,Good shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,Republican Party,,,Republican Party,Republican Party,,,Somewhat concerned,,Lack of effort,,Statement #2,Statement #2,Statement #2,Statement #2,Statement #1,,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,Approve,,Legal in all cases,"No, illegal",Very favorable,Very unfavorable,Mostly unfavorable,A lot,Not at all confident,Very confident,,,,,,,Female,68,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,(VOL) Christian,,"Yes, would",Once a week,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,1,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.391711,.3538621
201160,Cell phone,180920,180920,3,No,English,West,UT,Lowest,U,West,CA,,Highest,Male,No,White,,,,FORM 1,,,18 or older,Dissatisfied,Approve,Fairly closely,Republican Party's candidate,,(VOL) Same,(VOL) Don't know/Refused,Trump not much of a factor,Very important,Very important,Not too important,Not too important,Somewhat important,Very important,Very important,Not too important,Very important,,,,,,,,Trustworthy,Able to get things done,A strong leader,(VOL) Don't know/Refused,,,,,Excellent,Same,Good shape,(VOL) Stay the same,No more secure today than it was before the 2008 economic crisis,Democratic Party,(VOL) Neither,(VOL) Both equally,,,Republican Party,Republican Party,,,Not at all concerned,,Circumstances beyond control,,Statement #1,Statement #2,Statement #1,Statement #2,Statement #1,,Protect the right of Americans to own guns,"No, not government responsibility",,(VOL) Don't know/Refused,Should BOTH be given equal priority,Approve,,(VOL) Don't know/Refused,"Yes, legal",Mostly favorable,Mostly unfavorable,(VOL) Can't rate,A lot,Somewhat confident,Somewhat confident,,,,,,,Male,78,"Postgraduate or professional degree, including master's, doctorate, medical or law degree",(VOL) Don't know/Refused,Don't know/Refused (VOL.),Don't know/Refused (VOL.),,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),,"No, would not",Once a week,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,7,7,3+,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,.3829939,.3058204
201161,Cell phone,180920,180920,3,No,English,South,TX,Highest,U,West,CA,,Highest,Female,Yes,White,,,,FORM 1,,,18 or older,Dissatisfied,(VOL) Don't know/Refused,Not too closely,Republican Party's candidate,,More,"Yes, will be a factor",Trump not much of a factor,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,,,,,,,,Trustworthy,Not able to get things done,A strong leader,Doesn't care about people like me,,,,,Good,Same,Only fair shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,Republican Party,,,Democratic Party,Democratic Party,,,Somewhat concerned,,Lack of effort,,Statement #1,Statement #2,Statement #1,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Should BOTH be given equal priority,Approve,,Illegal in all cases,"Yes, legal",Mostly favorable,Mostly unfavorable,Mostly unfavorable,Nothing at all,Somewhat confident,Somewhat confident,,,,,,,Male,20,High school graduate (Grade 12 with diploma or GED certificate),Yes,Or some other race,Hispanic,U.S.,(VOL) Christian,,"No, would not",Once or twice a month,"10 to under $20,000","Are you PROBABLY registered, but there is a chance your registration has lapsed [OR]",Independent,Republican,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Conservative,Ind,Cons Rep/ln Rep,3,3,3+,,,"No, home telephone",No landline,Cellphone,Respondent agrees,1.2658034,1.9550239
201163,Cell phone,180920,180920,3,No,English,West,WA,4,U,West,WA,,4,Male,No,White,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Very closely,Democratic Party's candidate,,More,"Yes, will be a factor",Trump not much of a factor,Very important,Very important,Very important,,,,,,,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Poor,Worse,Only fair shape,Get a little worse,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Not at all concerned,,Because he or she had more advantages in life than most other people,Statement #1,Statement #1,Statement #1,,Statement #2,Statement #1,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,,Bad for the United States,Legal in all cases,"Yes, legal",Very unfavorable,Mostly favorable,(VOL) Refused,A lot,Very confident,Not at all confident,Right decision,Mostly failed,,,,,Male,40,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Atheist (do not believe in God),,,Never,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,,Dem/lean Dem,Moderate,Ind,Cons-Mod Dem/ln Dem,1,,1,,,"No, home telephone",No landline,Cellphone,Respondent agrees,.5381011,.7455054
201164,Cell phone,180920,180920,3,No,English,West,OR,Lowest,R,West,OR,,Lowest,Female,No,Or some other race,,,,FORM 1,,,18 or older,Satisfied,Approve,Fairly closely,Republican Party's candidate,,More,"No, will not",For Trump,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Good,Better,Good shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,Republican Party,,,Republican Party,Republican Party,,,Very concerned,,Lack of effort,,Statement #2,Statement #2,Statement #1,Statement #2,Statement #1,,Protect the right of Americans to own guns,"No, not government responsibility",,(VOL) Don't know/Refused,Should BOTH be given equal priority,Approve,,Illegal in all cases,(VOL) Don't know/Refused,Mostly favorable,Very unfavorable,Very unfavorable,A little [OR],Somewhat confident,Very confident,,,,,,,Male,24,High school graduate (Grade 12 with diploma or GED certificate),(VOL) Don't know/Refused,Don't know/Refused (VOL.),Don't know/Refused (VOL.),,(VOL) Christian,,"Yes, would",Once a week,"30 to under $40,000",Are you NOT registered to vote at your current address,Independent,Republican,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Very conservative,Ind,Cons Rep/ln Rep,5,4,3+,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.8149960000000001,.9534975999999999
201168,Cell phone,180920,180920,3,No,English,West,WY,Lowest,R,West,WY,,Lowest,Male,Yes,Or some other race,,,,FORM 1,,,18 or older,Dissatisfied,Approve,Fairly closely,Republican Party's candidate,,More,"No, will not",For Trump,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Not too important,Not too important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Poor,Same,Good shape,(VOL) Stay the same,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,Republican Party,,,Republican Party,Republican Party,,,Not too concerned [OR],,(VOL Both,,Statement #2,Statement #2,Statement #2,Statement #1,Statement #1,,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Better border security and stronger enforcement of our immigration laws,(VOL) Don't know/Refused,,Illegal in most cases,"Yes, legal",Very favorable,Very unfavorable,(VOL) Can't rate,A little [OR],Not at all confident,Very confident,,,,,,,Male,35,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",Seldom,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2,1,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.0180005,1.2882962
201169,Cell phone,180920,180920,3,No,English,West,ID,Lowest,U,West,ID,,Lowest,Female,No,White,,,,FORM 2,,,18 or older,Dissatisfied,Approve,Not too closely,Republican Party's candidate,,Less,"Yes, will be a factor",For Trump,Somewhat important,Very important,Somewhat important,,,,,,,Somewhat important,Somewhat important,Not too important,Very important,Very important,Somewhat important,Very important,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Only fair,Same,Poor shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Republican Party,,,Republican Party,Republican Party,,Somewhat concerned,,Because he or she had more advantages in life than most other people,Statement #2,Statement #2,Statement #1,,Statement #1,Statement #1,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Better border security and stronger enforcement of our immigration laws,,Good for the United States,Legal in all cases,"Yes, legal",Mostly favorable,Mostly unfavorable,(VOL) Can't rate,Nothing at all,(VOL) Don't know/Refused,Somewhat confident,Right decision,Mostly succeeded,,,,,Female,27,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"No, would not",Never,"40 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,2,1,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,2.6046013,2.5463809
201170,Cell phone,180920,180920,3,No,English,West,UT,Lowest,R,West,UT,,Lowest,Female,No,Black or African-American,,,,FORM 1,,,18 or older,Satisfied,Approve,Fairly closely,Republican Party's candidate,,More,"Yes, will be a factor",Trump not much of a factor,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Good,Same,Only fair shape,Improve some,(VOL) Don't know/Refused,(VOL) Both equally,(VOL) Neither,(VOL) Neither,,,(VOL) Neither,(VOL) Neither,,,Not at all concerned,,Circumstances beyond control,,Statement #2,Statement #1,Statement #1,Statement #1,(VOL) Don't know/Refused,,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,Approve,,Legal in most cases,"Yes, legal",Mostly unfavorable,Mostly unfavorable,Very unfavorable,A lot,Not at all confident,Somewhat confident,,,,,,,Male,27,High school graduate (Grade 12 with diploma or GED certificate),No,Mixed Race,Other,,(VOL) Christian,,"No, would not",Never,"10 to under $20,000",Are you NOT registered to vote at your current address,Independent,(VOL) Other/Don't know/Refused,,DK/Ref-no lean,Liberal [OR],Ind,,7,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,1.4400127,1.1619329
201173,Cell phone,180920,180920,2,No,English,West,CA,3,S,West,NM,,Lowest,Female,No,Black or African-American,,,,FORM 2,,,18 or older,Satisfied,Approve,Not at all closely,Republican Party's candidate,,More,"Yes, will be a factor",For Trump,Somewhat important,Somewhat important,Somewhat important,,,,,,,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Good,Better,Only fair shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,Republican Party,Republican Party,,Somewhat concerned,,Because he or she worked harder than most other people [OR],Statement #2,Statement #1,Statement #1,,Statement #1,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,,Good for the United States,Legal in most cases,"Yes, legal",Mostly favorable,Mostly unfavorable,Mostly favorable,A little [OR],Somewhat confident,Somewhat confident,Wrong decision,Mostly succeeded,,,,,Female,34,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),,"No, would not",A few times a year,"50 to under $75,000",Are you NOT registered to vote at your current address,Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,3,1,1,,,"No, home telephone",No landline,Cellphone,Respondent agrees,1.2653427,1.7342283
201176,Cell phone,180920,180920,3,No,English,West,UT,4,S,West,UT,,4,Female,No,White,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Not too closely,Republican Party's candidate,,Less,"No, will not",Trump not much of a factor,Very important,Somewhat important,Somewhat important,,,,,,,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Good,Same,Good shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,Republican Party,Republican Party,,,(VOL) Don't know/Refused,Republican Party,,Not too concerned [OR],,Because he or she worked harder than most other people [OR],Statement #2,Statement #1,Statement #1,,(VOL) Don't know/Refused,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Not be involved in providing health insurance at all [OR SHOULD THE GOVERNMENT],Should BOTH be given equal priority,,Bad for the United States,Illegal in most cases,(VOL) Don't know/Refused,Mostly favorable,Mostly unfavorable,Mostly favorable,A little [OR],Somewhat confident,Not too confident [OR],Wrong decision,(VOL) Don't know/Refused,,,,,Female,42,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),,"No, would not",Once a week,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Very conservative,Ind,Cons Rep/ln Rep,7,2,2,,,"Yes, home telephone",Landline,Cellphone,Respondent agrees,.9914195,.938347
201177,Cell phone,180920,180920,3,No,English,South,TX,4,U,West,UT,,2,Female,No,Black or African-American,,,,FORM 1,,,18 or older,Satisfied,(VOL) Don't know/Refused,Not at all closely,Republican Party's candidate,,Less,"Yes, will be a factor",Trump not much of a factor,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Not too important,Not too important,Very important,,,,,,,,Not trustworthy,(VOL) Don't know/Refused,A strong leader,Cares about people like me,,,,,Good,Same,Poor shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,(VOL) Both equally,,,Republican Party,(VOL) Don't know/Refused,,,Somewhat concerned,,Lack of effort,,Statement #2,Statement #2,Statement #1,Statement #1,Statement #2,,(VOL) Don't know/Refused,"Yes, government responsibility",Continue to be provided through a mix of private insurance companies and government programs,,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,(VOL) Don't know/Refused,,Legal in all cases,"No, illegal",Mostly favorable,Mostly unfavorable,(VOL) Can't rate,Nothing at all,(VOL) Don't know/Refused,Not too confident [OR],,,,,,,Female,29,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),,"Yes, would",More than once a week,"Less than $10,000",Are you NOT registered to vote at your current address,Independent,Republican,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Ind,Cons Rep/ln Rep,5,2,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,2.47317,2.5463809
